time,latitude,longitude,depth,mag
2020-10-17T20:44:52.110Z,37.3377,-114.6963,22.5,1.1
2020-10-17T20:40:49.770Z,17.8438,-66.8563,13,2.5
2020-10-17T20:31:59.723Z,39.1278,23.3958,10,4
2020-10-17T20:25:50.310Z,34.0386667,-116.8013333,16.12,1.19
2020-10-17T20:24:40.050Z,40.4115,-121.4421667,9.59,1.88
2020-10-17T20:23:08.716Z,65.3342,-162.6032,0.1,2.3
2020-10-17T20:14:51.600Z,36.9766655,-121.6309967,3.36,2.16
2020-10-17T20:07:48.610Z,38.8185005,-122.8248367,2.15,0.56
2020-10-17T20:05:49.650Z,36.8600006,-121.5896683,6.04,1.86
2020-10-17T20:01:30.802Z,60.306,-151.988,82.5,1.2
2020-10-17T19:49:35.422Z,65.4054,-163.4263,8.5,3
2020-10-17T19:25:33.400Z,33.6838333,-116.7156667,15.71,0.72
2020-10-17T19:06:11.190Z,38.8396683,-122.8523331,0.23,0.58
2020-10-17T19:06:08.210Z,33.6713333,-116.753,12.34,0.44
2020-10-17T18:54:37.590Z,38.8286667,-122.7593307,0.35,0.4
2020-10-17T18:50:36.690Z,38.8261681,-122.762001,0.88,0.95
2020-10-17T18:50:24.240Z,38.1663,-117.962,7.5,1.3
2020-10-17T18:50:16.010Z,38.8278351,-122.7610016,0.57,1.09
2020-10-17T18:49:40.540Z,38.8243332,-122.7631683,0.18,2.04
2020-10-17T18:37:35.500Z,17.9418,-66.847,12,2.28
2020-10-17T18:28:05.710Z,38.8063316,-122.8238297,2.35,0.56
2020-10-17T18:26:25.272Z,61.6301,-149.8748,38.8,1.8
2020-10-17T18:18:46.390Z,19.4746666,-155.5839996,-1.870000005,2.16
2020-10-17T18:10:45.880Z,35.980999,-120.5370026,2.98,1.12
2020-10-17T18:08:07.600Z,19.47816658,-155.6256714,-2.190000057,2.01
2020-10-17T18:07:06.210Z,38.0527,-118.1832,0.2,0.8
2020-10-17T17:54:58.814Z,-3.2615,100.3004,10,5.3
2020-10-17T17:54:35.770Z,35.9061667,-117.6958333,10.04,0.34
2020-10-17T17:34:52.820Z,19.2159996,-155.4583282,35.59999847,2.21
2020-10-17T17:23:31.400Z,33.5925,-116.8155,7.11,0.84
2020-10-17T17:22:03.840Z,32.877,-116.2991667,0.31,1.16
